Region, Vert, Vert, Vert
0
, 0:0, 0:2, 0:1
, 0:0, 0:1, 1:0
, 0:2, 0:1, 1:2
, 0:3, 1:2, 0:2
, 0:2, 0:4, 0:3
, 0:4, 0:6, 0:5
, 0:6, 0:8, 0:7
, 0:8, 0:10, 0:9
, 0:10, 0:12, 0:11
, 0:12, 0:14, 0:13
, 0:14, 0:20, 0:15
, 0:20, 0:22, 0:21
, 0:22, 0:24, 0:23
, 0:1, 1:0, 1:1
, 0:1, 1:2, 1:1
, 0:3, 1:2, 1:3
, 1:4, 1:3, 0:3
, 0:4, 0:3, 1:4
, 0:4, 0:5, 1:4
, 1:4, 1:5, 0:5
, 1:6, 1:5, 0:5
, 0:6, 0:5, 1:6
, 0:6, 0:7, 1:6
, 1:6, 1:7, 0:7
, 1:8, 1:7, 0:7
, 0:8, 0:7, 1:8
, 0:8, 0:9, 1:8
, 1:8, 1:9, 0:9
, 1:10, 1:9, 0:9
, 0:10, 0:9, 1:10
, 0:10, 0:11, 1:10
, 1:10, 1:11, 0:11
, 1:12, 1:11, 0:11
, 0:12, 0:11, 1:12
, 0:12, 0:13, 1:12
, 1:12, 1:13, 0:13
, 1:14, 1:13, 0:13
, 0:14, 0:13, 1:14
, 0:14, 0:15, 1:14
, 1:14, 1:15, 0:15
, 1:16, 1:15, 0:15
, 1:16, 1:18, 0:15
, 0:20, 0:15, 1:18
, 1:18, 1:20, 0:20
, 0:20, 0:21, 1:20
, 1:20, 1:21, 0:21
, 1:22, 1:21, 0:21
, 0:22, 0:21, 1:22
, 0:22, 0:23, 1:22
, 1:22, 1:23, 0:23
, 1:24, 1:23, 0:23
, 0:24, 0:23, 1:24
, 0:24, 0:25, 1:24
, 1:24, 1:25, 0:25
, 1:16, 1:18, 1:17
, 1:18, 1:20, 1:19
, 1:0, 1:1, 2:0
, 2:0, 2:1, 1:1
, 2:2, 2:1, 1:1
, 1:2, 1:1, 2:2
, 1:2, 1:3, 2:2
, 2:2, 2:3, 1:3
, 2:4, 2:3, 1:3
, 1:4, 1:3, 2:4
, 1:4, 1:5, 2:4
, 2:4, 2:5, 1:5
, 2:6, 2:5, 1:5
, 1:6, 1:5, 2:6
, 1:6, 1:7, 2:6
, 2:6, 2:7, 1:7
, 2:8, 2:7, 1:7
, 1:8, 1:7, 2:8
, 1:8, 1:9, 2:8
, 2:8, 2:9, 1:9
, 2:10, 2:9, 1:9
, 1:10, 1:9, 2:10
, 1:10, 1:11, 2:10
, 2:10, 2:11, 1:11
, 2:12, 2:11, 1:11
, 1:12, 1:11, 2:12
, 1:12, 1:13, 2:12
, 2:12, 2:13, 1:13
, 2:14, 2:13, 1:13
, 1:14, 1:13, 2:14
, 1:14, 1:15, 2:14
, 2:14, 2:15, 1:15
, 2:16, 2:15, 1:15
, 1:16, 1:15, 2:16
, 1:16, 1:17, 2:16
, 2:16, 2:18, 1:17
, 1:18, 1:17, 2:18
, 1:18, 1:19, 2:18
, 2:18, 2:19, 1:19
, 2:20, 2:19, 1:19
, 1:20, 1:19, 2:20
, 1:20, 1:21, 2:20
, 2:20, 2:21, 1:21
, 2:22, 2:21, 1:21
, 1:22, 1:21, 2:22
, 1:22, 1:23, 2:22
, 2:22, 2:23, 1:23
, 2:24, 2:23, 1:23
, 1:24, 1:23, 2:24
, 1:24, 1:25, 2:24
, 2:24, 2:25, 1:25
, 2:13, 2:15, 2:14
, 2:0, 2:1, 3:0
, 3:0, 3:1, 2:1
, 3:2, 3:1, 2:1
, 2:2, 2:1, 3:2
, 2:2, 2:3, 3:2
, 3:2, 3:3, 2:3
, 3:4, 3:3, 2:3
, 2:4, 2:3, 3:4
, 2:4, 2:5, 3:4
, 3:4, 3:5, 2:5
, 3:6, 3:5, 2:5
, 2:6, 2:5, 3:6
, 2:6, 2:7, 3:6
, 3:6, 3:7, 2:7
, 3:8, 3:7, 2:7
, 2:8, 2:7, 3:8
, 2:8, 2:9, 3:8
, 3:8, 3:9, 2:9
, 3:10, 3:9, 2:9
, 2:10, 2:9, 3:10
, 2:10, 2:11, 3:10
, 3:10, 3:11, 2:11
, 3:12, 3:11, 2:11
, 2:12, 2:11, 3:12
, 2:12, 2:13, 3:12
, 3:12, 3:13, 2:13
, 2:13, 2:15, 3:13
, 3:13, 3:19, 2:15
, 2:16, 2:15, 3:19
, 2:16, 2:18, 3:19
, 2:18, 2:19, 3:19
, 3:20, 3:19, 2:19
, 2:20, 2:19, 3:20
, 2:20, 2:21, 3:20
, 3:20, 3:21, 2:21
, 3:22, 3:21, 2:21
, 2:22, 2:21, 3:22
, 2:22, 2:23, 3:22
, 3:22, 3:23, 2:23
, 3:24, 3:23, 2:23
, 2:24, 2:23, 3:24
, 2:25, 3:24, 2:24
, 3:0, 3:1, 4:0
, 3:2, 3:1, 4:2
, 3:3, 4:2, 3:2
, 2:25, 3:24, 3:25
, 4:1, 5:0, 4:0
, 3:1, 4:0, 4:1
, 3:1, 4:2, 4:1
, 4:1, 5:2, 4:2
, 4:3, 5:2, 4:2
, 3:3, 4:2, 4:3
, 4:4, 4:3, 3:3
, 3:4, 3:3, 4:4
, 3:4, 3:5, 4:4
, 4:4, 4:5, 3:5
, 4:6, 4:5, 3:5
, 3:6, 3:5, 4:6
, 3:6, 3:7, 4:6
, 4:6, 4:7, 3:7
, 4:8, 4:7, 3:7
, 3:8, 3:7, 4:8
, 3:8, 3:9, 4:8
, 4:8, 4:9, 3:9
, 4:10, 4:9, 3:9
, 3:10, 3:9, 4:10
, 3:10, 3:11, 4:10
, 4:10, 4:11, 3:11
, 4:12, 4:11, 3:11
, 3:12, 3:11, 4:12
, 3:12, 3:13, 4:12
, 4:12, 5:12, 3:13
, 5:12, 5:20, 3:13
, 3:13, 3:19, 5:20
, 4:20, 5:20, 3:19
, 3:20, 3:19, 4:20
, 3:20, 3:21, 4:20
, 4:20, 4:21, 3:21
, 4:22, 4:21, 3:21
, 3:22, 3:21, 4:22
, 3:22, 3:23, 4:22
, 4:22, 4:23, 3:23
, 4:24, 4:23, 3:23
, 3:24, 3:23, 4:24
, 3:24, 3:25, 4:24
, 4:24, 4:25, 3:25
