Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2320, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2321, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2304, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2320, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2321, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2304, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2320, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2321, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2304, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2320, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2321, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2304, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, 5, 17, 16640, 6e5e3ecb
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 6, 16, -9999, -9999, 2064, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 6, 16, -9999, -9999, 2065, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 6, 16, -9999, -9999, 2048, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 6, 16, -9999, -9999, 2064, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 6, 16, -9999, -9999, 2065, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 6, 16, -9999, -9999, 2048, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2320, ffffffff
